 0.012 0.550   0.400     35.  -0.110    0.886    0.870    0.016   733.8       828.2    
 0.017 0.550   0.600     35.  -0.110    0.887    0.870    0.017   269.3       303.6    
 0.023 0.550   0.800     34.  -0.110    0.889    0.870    0.019   121.4       136.6    
 0.029 0.550   1.000     34.  -0.110    0.891    0.871    0.020   62.17       69.76    
 0.035 0.550   1.200     34.  -0.110    0.894    0.872    0.022   34.73       38.86    
 0.044 0.550   1.500     34.  -0.110    0.898    0.874    0.025   16.27       18.12    
 0.052 0.550   1.800     33.  -0.110    0.904    0.876    0.028   8.423       9.319    
 0.058 0.550   2.000     33.  -0.110    0.908    0.878    0.030   5.657       6.231    
 0.073 0.550   2.500     33.  -0.110    0.897    0.868    0.029   2.269       2.528    
 0.087 0.550   3.000     32.  -0.110    0.882    0.855    0.027   1.007       1.142    
 0.102 0.550   3.500     32.  -0.110    0.867    0.843    0.024  0.4821      0.5560    
 0.117 0.550   4.000     31.  -0.110    0.853    0.830    0.022  0.2434      0.2854    
 0.131 0.550   4.500     31.  -0.110    0.839    0.818    0.020  0.1277      0.1523    
